Item#,Designator,Qty,Comment,Footprint,Manufacturer Part Number,Manufacturer,LCSC Part No
1,"C1,C10,C14,C15,C2,C3,C4,C5,C6,C7",10,100nF,capacitor_0402,CL05B104KO5NNNC,Samsung Electro-Mechanics,C1525
2,C11,1,10uF,capacitor_0805,CL21A106KAYNNNE,Samsung Electro-Mechanics,C15850
3,"C12,C13",2,15pF,capacitor_0402,0402CG150J500NT,FH (Guangdong Fenghua),C1548
4,C9,1,1uF,capacitor_0402,CL05A105KA5NQNC,Samsung Electro-Mechanics,C52923
5,C_LED,1,100nF,capacitor_0805,CC0805KRX7R9BB104,YAGEO,C49678
6,"C_IN,C_OUT",2,1uF,capacitor_0805,CL21B105KBFNNNE,Samsung Electro-Mechanics,C28323
7,D1,1,WS2812B_B_T,WS2812B_B_T,WS2812B-B/T,Worldsemi,C2761795
8,J1,1,TYPE_C_31_M_12,TYPE_C_31_M_12,TYPE-C-31-M-12,Korean Hroparts Elec,C165948
9,R_RUN,1,10k,resistor_res0402,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),C25744
10,R_BOOT,1,1k,resistor_res0402,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),C11702
11,"R_CC1,R_CC2",2,5.1k,resistor_res0402,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),C25905
12,U1,1,RP2040,RP2040,RP2040,Raspberry Pi,C2040
13,U2,1,W25Q16JVSSIQ,W25Q16JVSSIQ,W25Q16JVSSIQ,Winbond,C131025
14,U3,1,AP2112K_3_3TRG1,AP2112K_3_3TRG1,AP2112K-3.3TRG1,Diodes Incorporated,C51118
15,Y1,1,X322512MSB4SI,X322512MSB4SI,X322512MSB4SI,YXC,C9002
